Бриджи женские джинсовые Langluka 1596W,1190,790,ARK-1596W,Size,25;26;27;28;29,"Бриджи Langluka выполнены из плотного хлопкового денима с нарочитыми потертостями и прорезями. Детали: застежка на молнию и пуговицу; пять карманов; шлевки для ремня. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/shorty_bridzhi_kapri/bridzhi_zhenskie_dzhinsovye_langluka_1596w/,Color,0000ff,Китай,https://www.kupi-jeans.ru/upload/iblock/364/364704b10d805467f93da98dd064ab2a.jpg,https://www.kupi-jeans.ru/upload/iblock/364/364704b10d805467f93da98dd064ab2a.jpg,https://www.kupi-jeans.ru/upload/iblock/3a9/3a91cf03303f3df8cfd6573254c1d3cb.jpg,https://www.kupi-jeans.ru/upload/iblock/2be/2be91155975202f1315d79f22a803336.jpg,,,,,,,,,,,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",,,10;10;10;10;10;10;10;10;10;10
Бриджи женские джинсовые Settanta ZQ7026B,1190,790,ARK-ZQ7026B,Size,29,"Джинсовые шорты Settanta выполнены из денима с искусственными потертостями и эффектом состаренности. Детали: застежка на молнию и пуговицу, шлевки под ремень, пять карманов, декоративные отвороты на манжетах. Состав: 98% хлопок, 2% эластан.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/shorty_bridzhi_kapri/bridzhi_zhenskie_dzhinsovye_settanta_zq7026b/,Color,0000ff,Китай,https://www.kupi-jeans.ru/upload/iblock/3dd/3dded825c2f606327105c98a0c5c0cb3.jpg,https://www.kupi-jeans.ru/upload/iblock/3dd/3dded825c2f606327105c98a0c5c0cb3.jpg,https://www.kupi-jeans.ru/upload/iblock/edc/edccfdb13ac935fbb9a89f2e6ada2c3d.jpg,https://www.kupi-jeans.ru/upload/iblock/f4e/f4eb4d1316c021afa948fe9a61142fe7.jpg,,,,,,,,,,,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",,,10;10;10;10;10;10;10;10;10;10
Шорты женские джинсовые Langluka X1636DK,1190,790,ARK-X1636DK,Size,25;26;27;28;29,"Шорты Langluka выполнены из плотного хлопкового денима с нарочитыми потертостями и прорезями. Детали: застежка на молнию и пуговицу; пять карманов; шлевки для ремня. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/shorty_bridzhi_kapri/shorty_zhenskie_dzhinsovye_langluka_x1636dk/,Color,0000ff,Китай,https://www.kupi-jeans.ru/upload/iblock/463/463d44c978cfec3ed5dc4b06e2f997b9.jpg,https://www.kupi-jeans.ru/upload/iblock/463/463d44c978cfec3ed5dc4b06e2f997b9.jpg,https://www.kupi-jeans.ru/upload/iblock/60f/60f932c8a9ebb565cbaf42ee9d2fe9ad.jpg,https://www.kupi-jeans.ru/upload/iblock/e90/e902073e292450a380972940693cee9c.jpg,,,,,,,,,,,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",,,10;10;10;10;10;10;10;10;10;10
Бриджи женские джинсовые Rich Berg T9010,1190,790,ARK-T9010,Size,25;26;27;28,"Джинсовые шорты Rich Berg выполнены из денима с искусственными потертостями и эффектом состаренности. Детали: застежка на молнию и пуговицу, шлевки под ремень, пять карманов, декоративные отвороты на манжетах. Состав: 90% хлопок, 10% полиэстер.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/shorty_bridzhi_kapri/bridzhi_zhenskie_dzhinsovye_rich_berg_t9010/,Color,0000ff,Китай,https://www.kupi-jeans.ru/upload/iblock/885/885a77d40b6d37eb32532e0f964ccde4.jpg,https://www.kupi-jeans.ru/upload/iblock/885/885a77d40b6d37eb32532e0f964ccde4.jpg,https://www.kupi-jeans.ru/upload/iblock/400/40029a65c17fcae923fc0f796c934585.jpg,https://www.kupi-jeans.ru/upload/iblock/a21/a21ac79236c9af734d69dfb00f86a271.jpg,,,,,,,,,,,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",,,10;10;10;10;10;10;10;10;10;10
Джинсы женские Milofy 8825,1150,750,ARK-8825,Size,28,"Джинсы для женщин, плотные, из мягкого хлопка. Качественная окраска джинсов. Модель джинсов больших размеров. От 28-33 европейские размеры. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/bryuki_dzhinsovye/dzhinsy_zhenskie_milofy_8825/,Color,0000ff,Китай,https://www.kupi-jeans.ru/upload/iblock/5b9/5b92ef60b6701d625617f09aa2fa627d.jpg,https://www.kupi-jeans.ru/upload/iblock/5b9/5b92ef60b6701d625617f09aa2fa627d.jpg,https://www.kupi-jeans.ru/upload/iblock/49e/49ef4b66fe7d956529c053e2692a6d7a.jpg,https://www.kupi-jeans.ru/upload/iblock/db1/db1fd2801c0ba78c874dc42c03178a6c.jpg,,,,,,,,,,,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые,,,10;10;10;10;10;10;10;10;10;10
Джинсы женские утепленные AZZ 6902,1320,920,ARK-6902,Size,30;32,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_azz_6902/,Color,0000ff,Китай,https://www.kupi-jeans.ru/upload/iblock/91c/91ceb5c001fce75eebbe0b7bdb971e3d.jpg,https://www.kupi-jeans.ru/upload/iblock/91c/91ceb5c001fce75eebbe0b7bdb971e3d.jpg,https://www.kupi-jeans.ru/upload/iblock/a37/a3782d4de1cbc4939294e83cbf3ed58e.jpg,https://www.kupi-jeans.ru/upload/iblock/e93/e93bb3fa07bb40194e0a98a2cf52fefe.jpg,,,,,,,,,,,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,,,10;10;10;10;10;10;10;10;10;10
Джинсы женские Miss Dudu 40-041S,1280,880,ARK-40-041S,Size,25;27;28;30,"Джинсы от Miss Dudu со средней посадкой. Модель выполнена из плотного денима. Детали: застежка на молнию и пуговицу, три кармана спереди, два кармана сзади, шлевки, декоративные потертости. Состав: 70% хлопок, 28% вискоза, 2% эластан.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/bryuki_dzhinsovye/dzhinsy_zhenskie_miss_dudu_40_041s/,Color,0000ff,Китай,https://www.kupi-jeans.ru/upload/iblock/d13/d13c00c0b335ab811f38d2cc9d8da4e8.jpg,https://www.kupi-jeans.ru/upload/iblock/d13/d13c00c0b335ab811f38d2cc9d8da4e8.jpg,https://www.kupi-jeans.ru/upload/iblock/a54/a5449b936978f3e4864b515d774a4aaa.jpg,https://www.kupi-jeans.ru/upload/iblock/2c0/2c0d8dd7b225b20050bd25c8ac492f4f.jpg,,,,,,,,,,,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые,,,10;10;10;10;10;10;10;10;10;10
