name,price,price_z,sku,size_nm,size,title,quantity,Link,color_nm,color,country_proizvodit,resp_foto15,resp_foto14,resp_foto13,resp_foto12,resp_foto11,resp_foto10,resp_foto9,resp_foto8,resp_foto7,resp_foto6,resp_foto5,resp_foto0,resp_foto1,resp_foto2,resp_foto3,categor_list10,categor_list9,categor_list8,categor_list7,categor_list6,categor_list5,categor_list4,categor_list0,categor_list1,categor_list2
Джинсы женские FX Jeans FX4113,1399,999,ARK-FX4113',Size,25;29,"Женские джинсы FX Jeans. состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/bryuki_dzhinsovye/dzhinsy_zhenskie_fx_jeans_fx4113/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/614/614b21dbd306f028c81f37b7c338bd24.jpg,https://www.kupi-jeans.ru/upload/iblock/614/614b21dbd306f028c81f37b7c338bd24.jpg,https://www.kupi-jeans.ru/upload/iblock/6b4/6b4e8b3bf30c48325f25023eb890b7c5.jpg,https://www.kupi-jeans.ru/upload/iblock/196/196e917f732434e1fce2f180feef1ed5.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые
Шорты женские джинсовые Langluka X1619K,1190,790,ARK-X1619K',Size,25;26;27;28;29;30,"Шорты Langluka выполнены из плотного хлопкового денима с нарочитыми потертостями и прорезями. Детали: застежка на молнию и пуговицу; пять карманов; шлевки для ремня. В комплект входят подтяжки. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/shorty_bridzhi_kapri/shorty_zhenskie_dzhinsovye_langluka_x1619k/,Color,0000ff,Китай,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/fe8/fe803d013f0f55a082fd24adcea32355.jpg,https://www.kupi-jeans.ru/upload/iblock/190/1906f93c5ccf0917f5e33a18340e2f4a.jpg,https://www.kupi-jeans.ru/upload/iblock/140/140323e8cd400d88462a9d72dfce3ffe.jpg,https://www.kupi-jeans.ru/upload/iblock/140/140323e8cd400d88462a9d72dfce3ffe.jpg,https://www.kupi-jeans.ru/upload/iblock/401/401fdeb6ee068dbfb62447f9b77b17b9.jpg,https://www.kupi-jeans.ru/upload/iblock/d02/d02bae179d3360a3032ce72f78adfdd0.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри"
Джинсы женские Langluka PY-559-1,1360,960,ARK-PY-559-1',Size,25;26;27;29;30,"Сужающиеся книзу джогеры из супер-мягкого денима низ которых собран на резинку. Спереди - застежка на молнию и пуговицу. На поясе - шлевки для ремня. Инструкция по уходу: стирать при температуре не выше 30° C, не отбеливать, не отжимать на центрифуге, гладить при средней температуре, химчистка разрешена. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/bryuki_dzhinsovye/dzhinsy_zhenskie_langluka_py_559_1/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/ec7/ec706856d03fc8de6fb1b57e7106d729.jpg,https://www.kupi-jeans.ru/upload/iblock/ec7/ec706856d03fc8de6fb1b57e7106d729.jpg,https://www.kupi-jeans.ru/upload/iblock/24c/24c319c4c081909e55fdd226abf349b8.jpg,https://www.kupi-jeans.ru/upload/iblock/f83/f83967631b22a1407da14041293eb58f.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые
Джинсы женские Haodi HD99-296KK,1399,999,ARK-HD99-296KK',Size,25;27;29;30,"Фасон «бойфренд» абсолютно незаменим! Идеальный вариант для создания повседневного образа в стиле кэжуал или женственного образа – вам выбирать! - Фасон «бойфренд» / свободный крой - Застежка на молнию и пуговицу - 5 карманов - Шлевки под ремень - Легкий эффект потертости. Состав: 98% хлопок, 2% спандекс..",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/bryuki_dzhinsovye/dzhinsy_zhenskie_haodi_hd99_296kk/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/e52/e52f3a617d890bebceb00017963b8145.jpg,https://www.kupi-jeans.ru/upload/iblock/e52/e52f3a617d890bebceb00017963b8145.jpg,https://www.kupi-jeans.ru/upload/iblock/389/389205eb8f0389ea246578e6785ca073.jpg,https://www.kupi-jeans.ru/upload/iblock/853/853d684a3870bf4776365868947d3311.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые
Джинсы женские утепленные Cracpot JNS 908,1360,960,ARK-908',Size,30,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_cracpot_jns_908/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/be8/be80ae348f6419ebbb038bee0fbeb432.jpg,https://www.kupi-jeans.ru/upload/iblock/be8/be80ae348f6419ebbb038bee0fbeb432.jpg,https://www.kupi-jeans.ru/upload/iblock/800/8006504560817d1ace21e847d19ab412.jpg,https://www.kupi-jeans.ru/upload/iblock/e96/e9642ca3c53c030062ec8eebaeada6cf.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые
Джинсы женские утепленные Гodi 956,1320,920,ARK-956',Size,30;31;32,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 70% хлопок, 30% полиэстер. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_godi_956/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/359/359db13e25a1146cfec586f50e522bc1.jpg,https://www.kupi-jeans.ru/upload/iblock/359/359db13e25a1146cfec586f50e522bc1.jpg,https://www.kupi-jeans.ru/upload/iblock/220/220e3c3ddfbf13622fb7822d7da845a0.jpg,https://www.kupi-jeans.ru/upload/iblock/7a4/7a4c2809f74ad3510ad277fd011117ff.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые
Джинсы женские утепленные Roxvivi RX-609,1390,990,ARK-RX-609',Size,30;31,"Симпатичные утепленные флисом, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой флиса которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_roxvivi_rx_609/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/67d/67d18f7fd54c16c1ff9629fd154823ab.jpg,https://www.kupi-jeans.ru/upload/iblock/67d/67d18f7fd54c16c1ff9629fd154823ab.jpg,https://www.kupi-jeans.ru/upload/iblock/7af/7afc5b9decea153b65a57229d67b527d.jpg,https://www.kupi-jeans.ru/upload/iblock/70d/70d28669e5ce5ca956cda753d5ba871a.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые
Джинсы женские утепленные GDKZ K-087,1280,880,ARK-K-087',Size,28;29,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_gdkz_k_087/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/dcc/dccc3389d9194de4bbb25b93a590d9d6.jpg,https://www.kupi-jeans.ru/upload/iblock/dcc/dccc3389d9194de4bbb25b93a590d9d6.jpg,https://www.kupi-jeans.ru/upload/iblock/840/840f044d1389a8a32fc6df4e057cf4ef.jpg,https://www.kupi-jeans.ru/upload/iblock/862/86267c4310b27a0c6ced5cea2619f3d4.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые
Джинсы женские FA&FA FA6091KK,1399,999,ARK-FA6091KK',Size,25;26;28,"Джинсы-бойфренды. Концепция стиля этих джинсов — раскрепощенность и свобода. Создается ощущение, что девушка с утра надела джинсы своего брата или парня. Казалось бы, такой небрежный вид никак не придает женственности и стройности фигуре, но, как ни странно, женщины в них выглядят необыкновенно хрупкими.... 5 карманов. Шлевки для ремня. Застежка на молнию и 1 пуговицу. Ремень в комплекте. Широкие джинсы-бойфренды со средней посадкой и шаговым швом. Носить с отворотами снизу. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/bryuki_dzhinsovye/dzhinsy_zhenskie_fa_fa_fa6091kk/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/f7a/f7ad9388f0970d1ae7e50577b0f8c5bd.jpg,https://www.kupi-jeans.ru/upload/iblock/f7a/f7ad9388f0970d1ae7e50577b0f8c5bd.jpg,https://www.kupi-jeans.ru/upload/iblock/7a0/7a0ee6827af7f3486b5c2ed180c92d21.jpg,https://www.kupi-jeans.ru/upload/iblock/b0c/b0c2bff028319488adc466b67374d84d.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые
Джинсы женские утепленные Cracpot JNS 906,1360,960,ARK-906',Size,28;29;30;32,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя c застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_cracpot_jns_906/,Color,0000ff,Китай,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/iblock/621/6217e666e7dc057833d939808bb1a63d.jpg,https://www.kupi-jeans.ru/upload/iblock/621/6217e666e7dc057833d939808bb1a63d.jpg,https://www.kupi-jeans.ru/upload/iblock/6b7/6b760d6d623edea14cda497129250869.jpg,https://www.kupi-jeans.ru/upload/iblock/f04/f048d05c2bb79a5a62a2fe517e2c7075.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые
