Джинсы женские утепленные Roxvivi RX-613,1390,990,https://www.kupi-jeans.ru/upload/iblock/1ee/1ee7d5e057d5ba0f4eee6e314cd334a4.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/1ee/70_113_2/1ee7d5e057d5ba0f4eee6e314cd334a4.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/255/70_113_2/25528ce4485d241307a3b27e420a7b5f.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/d6e/70_113_2/d6e66456b906c0b1d7c2a3681140cd46.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/315/70_113_2/315772ee2eb90f8cd7909d9b83b9b2c6.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: RX-613,"31,32,33,34,38",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_roxvivi_rx_613/,,
Джинсы женские утепленные Roxvivi RX-607,1390,990,https://www.kupi-jeans.ru/upload/iblock/94e/94edea8f1ba7517e5cc200601e7474c2.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/94e/70_113_2/94edea8f1ba7517e5cc200601e7474c2.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/31c/70_113_2/31cbdd53f848d6e094c86824aad59fa2.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/250/70_113_2/25090e8d6a8fa922ff7dda66257bd30b.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/7d1/70_113_2/7d155339b08d919d1d12abc92019db47.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: RX-607,"30,32,33,34,36",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_roxvivi_rx_607/,,
Жилет  джинсовый женский Lukaixier M17-2,1100,700,https://www.kupi-jeans.ru/upload/iblock/24e/24e7dc0e6502609ca2540502302d0831.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/24e/70_113_2/24e7dc0e6502609ca2540502302d0831.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/2a4/70_113_2/2a45c535cca62f0147c037a1d45c804f.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/959/70_113_2/95910ec0f5529e4937cfdadac7cc84af.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/3c9/70_113_2/3c94fcc05bbdbb6b69768eefdf88f84b.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: M17-2,L,0000ff,"Жилет джинсовый, класического покроя, со стразами. Джинсовая ткань: 65% хлопок, 35% полиэстер.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/kurtki_pidzhaki_i_zhiletki/zhilet_dzhinsovyy_zhenskiy_lukaixier_m17_2/,,
Жилет  джинсовый женский Lukaixier M17-1,1100,700,https://www.kupi-jeans.ru/upload/iblock/924/9240eca3300ebe221d71c1ce73037793.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/924/70_113_2/9240eca3300ebe221d71c1ce73037793.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/15d/70_113_2/15df9a290931de7da81416f872f8e428.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/029/70_113_2/02944c7073a17328755803029a5de30e.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: M17-1,XL,00bfff,"Жилет джинсовый, класического покроя, со стразами. Джинсовая ткань: 65% хлопок, 35% полиэстер.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/kurtki_pidzhaki_i_zhiletki/zhilet_dzhinsovyy_zhenskiy_lukaixier_m17_1/,,
Жилет  джинсовый женский Lukaixier M13-2,1100,700,https://www.kupi-jeans.ru/upload/iblock/407/40776ca733c6b09241ed0e55ac69ee28.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/407/70_113_2/40776ca733c6b09241ed0e55ac69ee28.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/7f2/70_113_2/7f2a4bd0e319aef16c31328282469946.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/652/70_113_2/652f8628de4f7110dd7b05b75100b33c.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: M13-2,"2XL,L,M,XL",0000ff,"Жилет джинсовый, класического покроя, со стразами. Джинсовая ткань: 65% хлопок, 35% полиэстер.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/kurtki_pidzhaki_i_zhiletki/zhilet_dzhinsovyy_zhenskiy_lukaixier_m13_2/,,
Шорты женские джинсовые Langluka LK0140DK,1200,800,https://www.kupi-jeans.ru/upload/iblock/efd/efdeda7d5a07be5bda8d19006d06c6af.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/efd/70_113_2/efdeda7d5a07be5bda8d19006d06c6af.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/260/70_113_2/2601dc8791bdd954aafab83c88555886.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/463/70_113_2/463f0f3003f0affdfac74b8113b5f798.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/744/70_113_2/7448ea802949abdfbf2b6cbf919167db.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",Производитель: ,Китай,Артикул: LK0140DK,"25,26,28,29,30",0000ff,"Шорты Langluka выполнены из плотного хлопкового денима с нарочитыми потертостями и прорезями. Детали: застежка на молнию и пуговицу; пять карманов; шлевки для ремня. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/shorty_bridzhi_kapri/shorty_zhenskie_dzhinsovye_langluka_lk0140dk/,,
Джинсы женские утепленные Cracpot JNS 906,1360,960,https://www.kupi-jeans.ru/upload/iblock/621/6217e666e7dc057833d939808bb1a63d.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/621/70_113_2/6217e666e7dc057833d939808bb1a63d.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/6b7/70_113_2/6b760d6d623edea14cda497129250869.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/f04/70_113_2/f048d05c2bb79a5a62a2fe517e2c7075.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/8ad/70_113_2/8ad54cf84bdef9324ac96e6b1e8918aa.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 906,"28,29,30,32",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя c застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_cracpot_jns_906/,,
Джинсы женские утепленные Appciauds A-8073,1360,960,https://www.kupi-jeans.ru/upload/iblock/5fb/5fbe1c3075ee740994818c296862622c.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/5fb/70_113_2/5fbe1c3075ee740994818c296862622c.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/b3b/70_113_2/b3b82fdf7b5365e36ec0f8e31a5a1200.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/7a8/70_113_2/7a87eca71eb0d30c5df2819f05fad006.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/b30/70_113_2/b30c8bf4776900361198a0b76661a774.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: A-8073,"29,3",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя c застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_appciauds_a_8073/,,
Джинсы женские утепленные XQL1883,1360,960,https://www.kupi-jeans.ru/upload/iblock/bb9/bb92da82f09f0d7f2057258194923eb3.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/bb9/70_113_2/bb92da82f09f0d7f2057258194923eb3.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/7d0/70_113_2/7d09bb9712f6bf69116510d49f48db7f.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/3d0/70_113_2/3d0cb8815237b7e3df0c659880ae5f75.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/73e/70_113_2/73e6e1e2e3525b1c1a0fa0082eaf9523.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 1883,"28,30,31,32",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/uteplennye_bryuki_dzhinsovye/dzhinsy_zhenskie_uteplennye_xql1883/,,
Шорты женские джинсовые Langluka X1639DK,1200,800,https://www.kupi-jeans.ru/upload/iblock/487/487241d59a16cef2fac3ee9e27d02202.jpg,,,,,,,,,,,,,,,,,https://www.kupi-jeans.ru/upload/resize_cache/iblock/487/70_113_2/487241d59a16cef2fac3ee9e27d02202.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/b6e/70_113_2/b6e27e4d8897694f730acbcb467e74a0.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/574/70_113_2/574a14c6d03b8e00f6cbd9379458715d.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/4eb/70_113_2/4eb8480d4c60b4c908023195cad504b4.jpg,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",Производитель: ,Китай,Артикул: X1639DK,"25,26,27,28,29,30",0000ff,"Шорты Langluka выполнены из плотного хлопкового денима с нарочитыми потертостями и прорезями. Детали: застежка на молнию и пуговицу; пять карманов; шлевки для ремня. Состав: 98% хлопок, 2% спандекс.",10,https://www.kupi-jeans.ru/zhenskaya_odezhda/dzhinsy/shorty_bridzhi_kapri/shorty_zhenskie_dzhinsovye_langluka_x1639dk/,,
