name,price,price_z,photo,add_photo,categor_list10,categor_list9,categor_list8,categor_list7,categor_list6,categor_list5,categor_list4,categor_list0,categor_list1,categor_list2,proizvodit,country_proizvodit,sku,size,color,title,quantity
Джинсы женские утепленные GDKZ K-081,1399,999,https://www.kupi-jeans.ru/upload/iblock/11c/11ca0b0851548f917aa48b72a5dfa347.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/11c/70_113_2/11ca0b0851548f917aa48b72a5dfa347.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/135/70_113_2/1353e010ab8767fa4a7ebbb0dd2bb424.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/7a3/70_113_2/7a3df3d4c58d9d534114371c3b42a500.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/0f8/70_113_2/0f835ae83a593e49f5acab9eb402801b.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: K-081,,0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские Tigerclub 4984,800,400,https://www.kupi-jeans.ru/upload/iblock/4db/4db7e13cf26964064c265f50322cac00.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/4db/70_113_2/4db7e13cf26964064c265f50322cac00.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/10a/70_113_2/10a14bad80cc98ec85338530c36e91c0.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Распродажа,Производитель: ,Китай,Артикул: 4984,25,0000ff,"ВНИМАНИЕ! ДАННЫЙ ТОВАР ОБМЕНУ И ВОЗВРАТУ НЕ ПОДЛЕЖИТ, Состав: 100% хлопок.",10
Джинсы женские утепленные Barbie Coco Q-252,1399,999,https://www.kupi-jeans.ru/upload/iblock/77b/77b78ef27c8bee8a42b57d51f299592e.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/77b/70_113_2/77b78ef27c8bee8a42b57d51f299592e.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/d1b/70_113_2/d1bfbe2bea0170e747fd6e2bc8a222fa.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/4a8/70_113_2/4a82931156164b9384d07392352b09d3.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/be8/70_113_2/be8f5b2e4c1ae77e093d57d48914f2e8.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: Q-252,25,0000ff,"Классический покрой джинсов. Модель утепленная: с подкладкой из тонкого флиса, которая незаметна глазу. Джинсы-стрейч. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: осень-зима.",10
Джинсы женские утепленные Parastoo 5913,1320,920,https://www.kupi-jeans.ru/upload/iblock/6bd/6bdf8bf3be8b0d2cc1b4731adcf2c305.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 5913,32,0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные TG 0709,1399,999,https://www.kupi-jeans.ru/upload/iblock/3a9/3a91d01cc57c39ac96ecc98bc6595c60.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 0709,26,0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 100% хлопок. Сезон: Зима.",10
Джинсы женские утепленные GDKZ K-086,1280,880,https://www.kupi-jeans.ru/upload/iblock/780/780b2d13720cea88c7d469e3d2da68be.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/780/70_113_2/780b2d13720cea88c7d469e3d2da68be.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/cfd/70_113_2/cfdb8873836fd54a18f7f39491dca51a.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/ab9/70_113_2/ab91cd8ec61d3f8d930679301a41db67.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/1c5/70_113_2/1c54a8c09fb0db3a95692bbb4ff789f5.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: K-086,"29,31",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Шорты женские джинсовые Langluka X1636DK,1190,790,https://www.kupi-jeans.ru/upload/iblock/463/463d44c978cfec3ed5dc4b06e2f997b9.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/463/70_113_2/463d44c978cfec3ed5dc4b06e2f997b9.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/60f/70_113_2/60f932c8a9ebb565cbaf42ee9d2fe9ad.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/e90/70_113_2/e902073e292450a380972940693cee9c.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/fb5/70_113_2/fb50f9d3e2235469a394f3a077484f7c.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",Производитель: ,Китай,Артикул: X1636DK,"25,26,27,28,29",0000ff,"Шорты Langluka выполнены из плотного хлопкового денима с нарочитыми потертостями и прорезями. Детали: застежка на молнию и пуговицу; пять карманов; шлевки для ремня. Состав: 98% хлопок, 2% спандекс.",10
Джинсы женские утепленные Langluka LJ1397EFH,1399,999,https://www.kupi-jeans.ru/upload/iblock/ca2/ca25a71893a0ed906c7d8ed67204f334.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/ca2/70_113_2/ca25a71893a0ed906c7d8ed67204f334.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/200/70_113_2/200816fc80bf5d64bbc7c160def8a81b.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/c9c/70_113_2/c9ccfe09d3ffb0db6fcb9a326cfee268.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/5f6/70_113_2/5f66f9dd39dc031e8f1ac3f1d9b25a6e.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: LJ1397EFH,,0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные XQL 012,1280,880,https://www.kupi-jeans.ru/upload/iblock/ecf/ecfd07a1789e8f1e3ded889339acb7f9.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 012,"25,26,27,28,29,30",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные Appciauds A-8073,1360,960,https://www.kupi-jeans.ru/upload/iblock/5fb/5fbe1c3075ee740994818c296862622c.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/5fb/70_113_2/5fbe1c3075ee740994818c296862622c.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/b3b/70_113_2/b3b82fdf7b5365e36ec0f8e31a5a1200.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/7a8/70_113_2/7a87eca71eb0d30c5df2819f05fad006.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/b30/70_113_2/b30c8bf4776900361198a0b76661a774.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: A-8073,"29,30",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя c застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Сарафан женский джинсовый СДЖ 001,1100,700,https://www.kupi-jeans.ru/upload/iblock/019/0199a896a10d656f03241b451a2c8ad3.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/019/70_113_2/0199a896a10d656f03241b451a2c8ad3.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/41e/70_113_2/41eec8de583020617e90ca593b78f272.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/3fa/70_113_2/3fa05d4a74cbc167374ba0037e7e241b.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/a12/70_113_2/a12f34dd6dae292572c899e22b57826f.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Комбинезоны и сарафаны ,Производитель: ,Китай,Артикул: СДЖ 001,46-48,00bfff,Легкие удобные сарафаны свободного покроя Цвет: голубой Состав: 95% хлопок/5% эластан Размеры: 46-48 Производитель: Китай,10
Джинсы женские утепленные Barbie Coco Q-242,1399,999,https://www.kupi-jeans.ru/upload/iblock/4f0/4f0a47931ae0e1a44811202f258a0467.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/4f0/70_113_2/4f0a47931ae0e1a44811202f258a0467.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/83a/70_113_2/83ab1bc00db66a481c485a22b9a684ef.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/491/70_113_2/4913e47f9b0c48adb99ae061e500f1bc.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/c16/70_113_2/c16120c9c4147042df8ff36a82a31851.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: Q-242,25,0000ff,"Классический покрой джинсов. Модель утепленная: с подкладкой из тонкого флиса, которая незаметна глазу. Джинсы-стрейч. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: осень-зима.",10
Джинсы женские утепленные XQL 006,1280,880,https://www.kupi-jeans.ru/upload/iblock/f3a/f3a4ff381662612bfcc1e2c51340bf84.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 006,"25,26,27,28,30",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные Langluka LJ1500B-7FH,1360,960,https://www.kupi-jeans.ru/upload/iblock/3fa/3faaa8745363b1d44d74732ce0502471.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/3fa/70_113_2/3faaa8745363b1d44d74732ce0502471.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/ecb/70_113_2/ecbbb3ea665e3a680fd4abca8b107d2b.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/2c9/70_113_2/2c9e857370101283b204b18820b34460.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/9cf/70_113_2/9cfbf329be7628cf12dfa40d52845dda.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: LJ1500B-7FH,"31,32",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные Гodi 956,1320,920,https://www.kupi-jeans.ru/upload/iblock/359/359db13e25a1146cfec586f50e522bc1.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/359/70_113_2/359db13e25a1146cfec586f50e522bc1.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/220/70_113_2/220e3c3ddfbf13622fb7822d7da845a0.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/7a4/70_113_2/7a4c2809f74ad3510ad277fd011117ff.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/67d/70_113_2/67d271a8e83c8da7b2297b57673b5a15.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 956,"30,31,32",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 70% хлопок, 30% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные KK K-622,1399,999,https://www.kupi-jeans.ru/upload/iblock/f23/f237f04363e0101d07ceedbdec4bc7ed.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: K-622,25,0000ff,"Классический покрой джинсов. Модель утепленная: с подкладкой из тонкого флиса, которая незаметна глазу. Джинсы-стрейч. Состав: 75% хлопок, 3% спандекс, 22% полиэстер. Сезон: Зима.",10
Шорты женские джинсовые Langluka X1633DK,1190,790,https://www.kupi-jeans.ru/upload/iblock/20b/20bded17490bbc0ebf2b7e143bf06887.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/20b/70_113_2/20bded17490bbc0ebf2b7e143bf06887.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/09b/70_113_2/09b9e5d0e61d024624bcd557d14a319b.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/2d8/70_113_2/2d834b4a8d3bf9e77f97e515b301742d.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/cac/70_113_2/cacfc4a6d8f62cb5d84c1e75fb9e3cd1.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,"Шорты, бриджи, капри",Производитель: ,Китай,Артикул: X1633DK,"25,26,27,28,29,30",0000ff,"Шорты Langluka выполнены из плотного хлопкового денима с нарочитыми потертостями и прорезями. Детали: застежка на молнию и пуговицу; пять карманов; шлевки для ремня. В комплект входит ремень. Состав: 98% хлопок, 2% спандекс.",10
Джинсы женские утепленные Roxvivi RX-609,1390,990,https://www.kupi-jeans.ru/upload/iblock/650/650cc3af43fdb6693fa02993cb039e6e.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/650/70_113_2/650cc3af43fdb6693fa02993cb039e6e.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/326/70_113_2/326538ec7d27b1cc5cadf751b5a00fff.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/1a9/70_113_2/1a9f9b19113e3b8379362ecd648d5b9e.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: RX-609,31,0000ff,"Симпатичные утепленные флисом, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой флиса которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные KK K-623,1399,999,https://www.kupi-jeans.ru/upload/iblock/cb5/cb59b50d49c345e6044ea86cbbd6b68c.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: K-623,26,0000ff,"Классический покрой джинсов. Модель утепленная: с подкладкой из тонкого флиса, которая незаметна глазу. Джинсы-стрейч. Состав: 75% хлопок, 3% спандекс, 22% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные Sesvinan 5908,1320,920,https://www.kupi-jeans.ru/upload/iblock/7f7/7f7133922c7d1cf2ef9b6c8426108258.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 5908,"31,32,33",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные Гodi 967,1320,920,https://www.kupi-jeans.ru/upload/iblock/b28/b2864fe80a33400186fcf21cd1c25054.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/b28/70_113_2/b2864fe80a33400186fcf21cd1c25054.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/d92/70_113_2/d92a11b4706ee706f04e5db94eae1db2.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/5e8/70_113_2/5e868d1e57225cb691b48ab923913962.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/a0c/70_113_2/a0ccf9590c59d6833165f2070eaf3292.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 967,31,0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена небольшим выбеленным эффектом, застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: зауженный покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 70% хлопок, 30% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные Langluka LJ1390BFH,1360,960,https://www.kupi-jeans.ru/upload/iblock/27d/27d825a4fccbde0fefbab53b2c46a4fe.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/27d/70_113_2/27d825a4fccbde0fefbab53b2c46a4fe.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/642/70_113_2/642dc405866a1cb680353c1785dfe36e.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/007/70_113_2/00787cfb3ffc62f57452b4eedb34deaa.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/73d/70_113_2/73d4a324a6bcf071c60691ff224346cc.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: LJ1390BFH,32,0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
